scenario,phi,num_obs,alpha_run
Nc=Np,0.39996337890625,6553,0.565232
Nc=Np,0.39996337890625,6553,0.568767
Nc=Np,0.39996337890625,6553,0.575743
Nc=Np,0.39996337890625,6553,0.562479
Nc=Np,0.39996337890625,6553,0.560303
Nc=Np,0.39996337890625,6553,0.572738
Nc=Np,0.39996337890625,6553,0.563427
Nc=Np,0.39996337890625,6553,0.565474
Nc=Np,0.39996337890625,6553,0.572626
Nc=Np,0.39996337890625,6553,0.573335
Nc=Np,0.39996337890625,6553,0.543285
Nc=Np,0.39996337890625,6553,0.582001
Nc=Np,0.39996337890625,6553,0.564412
Nc=Np,0.39996337890625,6553,0.555966
Nc=Np,0.39996337890625,6553,0.563283
Nc=Np,0.39996337890625,6553,0.561672
Nc=Np,0.39996337890625,6553,0.550959
Nc=Np,0.39996337890625,6553,0.550498
Nc=Np,0.39996337890625,6553,0.559492
Nc=Np,0.39996337890625,6553,0.557096
Nc=Np,0.39996337890625,6553,0.573569
Nc=Np,0.39996337890625,6553,0.557268
Nc=Np,0.39996337890625,6553,0.566114
Nc=Np,0.39996337890625,6553,0.571899
Nc=Np,0.39996337890625,6553,0.580756
Nc=Np,0.39996337890625,6553,0.565398
Nc=Np,0.39996337890625,6553,0.566409
Nc=Np,0.39996337890625,6553,0.565724
Nc=Np,0.39996337890625,6553,0.564857
Nc=Np,0.39996337890625,6553,0.564469
Nc=Np,0.39996337890625,6553,0.553271
Nc=Np,0.39996337890625,6553,0.568404
Nc=Np,0.5,8192,0.485553
Nc=Np,0.5,8192,0.492718
Nc=Np,0.5,8192,0.462781
Nc=Np,0.5,8192,0.446435
Nc=Np,0.5,8192,0.463956
Nc=Np,0.5,8192,0.458681
Nc=Np,0.5,8192,0.465224
Nc=Np,0.5,8192,0.44788
Nc=Np,0.5,8192,0.465151
Nc=Np,0.5,8192,0.453751
Nc=Np,0.5,8192,0.477789
Nc=Np,0.5,8192,0.464351
Nc=Np,0.5,8192,0.505754
Nc=Np,0.5,8192,0.45598
Nc=Np,0.5,8192,0.448841
Nc=Np,0.5,8192,0.454743
Nc=Np,0.5,8192,0.515091
Nc=Np,0.5,8192,0.477574
Nc=Np,0.5,8192,0.450042
Nc=Np,0.5,8192,0.475626
Nc=Np,0.5,8192,0.439404
Nc=Np,0.5,8192,0.475257
Nc=Np,0.5,8192,0.442662
Nc=Np,0.5,8192,0.484246
Nc=Np,0.5,8192,0.481509
Nc=Np,0.5,8192,0.453619
Nc=Np,0.5,8192,0.485988
Nc=Np,0.5,8192,0.464418
Nc=Np,0.5,8192,0.447602
Nc=Np,0.5,8192,0.470604
Nc=Np,0.5,8192,0.510337
Nc=Np,0.5,8192,0.477275
Nc=Np,0.5,8192,0.461225
Nc=Np,0.5,8192,0.457707
Nc=Np,0.5,8192,0.460337
Nc=Np,0.5,8192,0.437972
Nc=Np,0.5,8192,0.484036
Nc=Np,0.5,8192,0.501743
Nc=Np,0.5,8192,0.479112
Nc=Np,0.5,8192,0.475563
Nc=Np,0.5,8192,0.481181
Nc=Np,0.5,8192,0.463662
Nc=Np,0.5,8192,0.468574
Nc=Np,0.5,8192,0.458059
Nc=Np,0.5,8192,0.462321
Nc=Np,0.5,8192,0.44241
Nc=Np,0.5,8192,0.432341
Nc=Np,0.5,8192,0.479513
Nc=Np,0.5,8192,0.467738
Nc=Np,0.5,8192,0.500401
Nc=Np,0.5,8192,0.480605
Nc=Np,0.5,8192,0.446486
Nc=Np,0.5,8192,0.476813
Nc=Np,0.5,8192,0.47089
Nc=Np,0.5,8192,0.47119
Nc=Np,0.5,8192,0.485932
Nc=Np,0.5,8192,0.472809
Nc=Np,0.5,8192,0.449279
Nc=Np,0.5,8192,0.497944
Nc=Np,0.5,8192,0.474144
Nc=Np,0.5,8192,0.461243
Nc=Np,0.5,8192,0.495247
Nc=Np,0.5,8192,0.485627
Nc=Np,0.5,8192,0.467412
Nc=Np,0.5,8192,0.434775
Nc=Np,0.5,8192,0.489312
Nc=Np,0.5,8192,0.49056
Nc=Np,0.5,8192,0.476784
Nc=Np,0.5,8192,0.479738
Nc=Np,0.5,8192,0.468369
Nc=Np,0.5,8192,0.476013
Nc=Np,0.5,8192,0.454372
Nc=Np,0.5,8192,0.478382
Nc=Np,0.5,8192,0.467883
Nc=Np,0.5,8192,0.451856
Nc=Np,0.5,8192,0.479698
Nc=Np,0.5,8192,0.452574
Nc=Np,0.5,8192,0.472524
Nc=Np,0.5,8192,0.454788
Nc=Np,0.5,8192,0.467359
Nc=Np,0.5,8192,0.468489
Nc=Np,0.5,8192,0.468355
Nc=Np,0.5,8192,0.456923
Nc=Np,0.5,8192,0.50612
Nc=Np,0.5,8192,0.451945
Nc=Np,0.5,8192,0.469128
Nc=Np,0.5,8192,0.453342
Nc=Np,0.5,8192,0.45507
Nc=Np,0.5,8192,0.455115
Nc=Np,0.5,8192,0.475959
Nc=Np,0.5,8192,0.476364
Nc=Np,0.5,8192,0.437751
Nc=Np,0.5,8192,0.47944
Nc=Np,0.5,8192,0.481119
Nc=Np,0.5,8192,0.482803
Nc=Np,0.5,8192,0.466665
Nc=Np,0.5,8192,0.468365
Nc=Np,0.5,8192,0.48605
Nc=Np,0.5,8192,0.446679
Nc=Np,0.5,8192,0.489116
Nc=Np,0.5999755859375,9830,0.343938
Nc=Np,0.5999755859375,9830,0.355395
Nc=Np,0.5999755859375,9830,0.349454
Nc=Np,0.5999755859375,9830,0.36553
Nc=Np,0.5999755859375,9830,0.385943
Nc=Np,0.5999755859375,9830,0.379343
Nc=Np,0.5999755859375,9830,0.365516
Nc=Np,0.5999755859375,9830,0.374227
Nc=Np,0.5999755859375,9830,0.36901
Nc=Np,0.5999755859375,9830,0.393914
Nc=Np,0.5999755859375,9830,0.386003
Nc=Np,0.5999755859375,9830,0.350324
Nc=Np,0.5999755859375,9830,0.367124
Nc=Np,0.5999755859375,9830,0.340567
Nc=Np,0.5999755859375,9830,0.331133
Nc=Np,0.5999755859375,9830,0.351811
Nc=Np,0.5999755859375,9830,0.356857
Nc=Np,0.5999755859375,9830,0.352883
Nc=Np,0.5999755859375,9830,0.345242
Nc=Np,0.5999755859375,9830,0.349049
Nc=Np,0.5999755859375,9830,0.362584
Nc=Np,0.5999755859375,9830,0.359562
Nc=Np,0.5999755859375,9830,0.335448
Nc=Np,0.5999755859375,9830,0.365172
Nc=Np,0.5999755859375,9830,0.351181
Nc=Np,0.5999755859375,9830,0.349528
Nc=Np,0.5999755859375,9830,0.302459
Nc=Np,0.5999755859375,9830,0.3363
Nc=Np,0.5999755859375,9830,0.3445
Nc=Np,0.5999755859375,9830,0.407052
Nc=Np,0.5999755859375,9830,0.368454
Nc=Np,0.5999755859375,9830,0.398925
Nc=Np,0.5999755859375,9830,0.395883
Nc=Np,0.5999755859375,9830,0.339584
Nc=Np,0.5999755859375,9830,0.388645
Nc=Np,0.5999755859375,9830,0.374919
Nc=Np,0.5999755859375,9830,0.347167
Nc=Np,0.5999755859375,9830,0.403194
Nc=Np,0.5999755859375,9830,0.340311
Nc=Np,0.5999755859375,9830,0.363993
Nc=Np,0.5999755859375,9830,0.3545
Nc=Np,0.5999755859375,9830,0.351897
Nc=Np,0.5999755859375,9830,0.360699
Nc=Np,0.5999755859375,9830,0.34862
Nc=Np,0.5999755859375,9830,0.358956
Nc=Np,0.5999755859375,9830,0.344295
