run,steps,escapers,seed
920,1,25,3916191565
923,1,25,3916191568
922,1,25,3916191567
924,1,25,3916191569
925,1,25,3916191570
926,1,25,3916191571
927,1,25,3916191572
928,1,25,3916191573
929,1,25,3916191574
930,1,25,3916191575
932,1,25,3916191577
931,1,25,3916191576
933,1,25,3916191578
934,1,25,3916191579
935,1,25,3916191580
936,1,25,3916191581
937,1,25,3916191582
939,1,25,3916191584
940,1,25,3916191585
942,1,25,3916191587
941,1,25,3916191586
938,1,25,3916191583
943,1,25,3916191588
944,1,25,3916191589
946,1,25,3916191591
945,1,25,3916191590
947,1,25,3916191592
948,1,25,3916191593
949,1,25,3916191594
950,1,25,3916191595
951,1,25,3916191596
953,1,25,3916191598
954,1,25,3916191599
955,1,25,3916191600
957,1,25,3916191602
956,1,25,3916191601
959,1,25,3916191604
958,1,25,3916191603
960,1,25,3916191605
961,1,25,3916191606
952,1,25,3916191597
962,1,25,3916191607
963,1,25,3916191608
964,1,25,3916191609
965,1,25,3916191610
966,1,25,3916191611
967,1,25,3916191612
968,1,25,3916191613
969,1,25,3916191614
970,1,25,3916191615
971,1,25,3916191616
972,1,25,3916191617
973,1,25,3916191618
974,1,25,3916191619
975,1,25,3916191620
976,1,25,3916191621
977,1,25,3916191622
978,1,25,3916191623
979,1,25,3916191624
982,1,25,3916191627
981,1,25,3916191626
980,1,25,3916191625
983,1,25,3916191628
984,1,25,3916191629
985,1,25,3916191630
986,1,25,3916191631
987,1,25,3916191632
989,1,25,3916191634
988,1,25,3916191633
994,1,25,3916191639
992,1,25,3916191637
993,1,25,3916191638
990,1,25,3916191635
995,1,25,3916191640
991,1,25,3916191636
996,1,25,3916191641
997,1,25,3916191642
998,1,25,3916191643
999,1,25,3916191644
1000,1,25,3916191645
